C	DRR002014.1	543	100|100	0:54 543:3 0:9 |:| A:26 0:22 1236:5 0:2 A:11 
C	DRR002014.2	543	100|100	0:6 543:4 0:8 543:9 0:16 543:1 0:22 |:| A:25 0:2 543:1 0:12 91347:5 0:10 A:11 
C	DRR002014.3	543	100|100	543:5 0:11 543:5 0:7 543:1 0:21 543:4 0:12 |:| A:25 543:4 0:26 A:11 
C	DRR002014.4	543	100|100	543:5 0:15 543:1 0:1 543:1 0:9 543:3 0:11 543:2 0:18 |:| A:26 0:10 91347:1 0:10 543:6 A:13 
C	DRR002014.5	543	100|100	543:1 0:17 543:5 0:2 543:11 0:8 543:3 0:19 |:| A:26 0:12 543:1 0:4 543:6 0:2 543:2 A:13 
C	DRR002014.6	543	100|100	0:37 543:3 0:26 |:| A:26 0:7 543:2 0:18 A:13 
U	DRR002014.7	0	100|100	0:66 |:| A:26 0:29 A:11 
C	DRR002014.8	543	100|100	0:40 543:3 0:18 543:2 0:3 |:| A:25 0:30 A:11 
C	DRR002014.9	543	100|100	0:10 543:5 0:17 543:5 0:29 |:| A:26 543:1 0:13 543:2 0:1 543:5 0:7 A:11 
C	DRR002014.10	543	100|100	0:2 543:1 0:10 543:2 0:25 543:9 0:17 |:| A:25 0:30 A:11 
C	DRR002014.11	543	100|100	0:13 543:3 0:2 543:1 0:9 543:5 0:12 543:1 0:17 543:3 |:| A:26 0:10 543:2 0:17 A:11 
C	DRR002014.12	543	100|100	543:1 0:35 543:5 0:13 543:2 0:10 |:| A:25 0:16 543:1 0:5 543:8 A:11 
C	DRR002014.13	543	100|100	0:8 543:6 0:7 543:9 0:4 543:5 0:4 543:10 0:6 543:3 0:4 |:| 0:10 543:1 0:6 543:5 0:10 543:1 0:33
U	DRR002014.14	0	100|100	0:66 |:| A:25 0:31 A:10 
C	DRR002014.15	543	100|100	543:2 0:2 543:2 0:34 543:5 0:21 |:| A:25 0:1 543:1 0:4 543:4 0:5 543:5 0:11 A:10 
C	DRR002014.16	562	100|100	0:11 543:1 0:16 543:1 0:22 543:3 0:12 |:| A:25 0:1 562:5 0:5 562:5 0:15 A:10 
C	DRR002014.17	543	100|100	0:12 543:5 0:5 543:2 0:5 543:8 0:8 543:1 0:3 543:9 0:8 |:| 543:3 0:12 543:3 0:7 543:8 0:33
C	DRR002014.18	543	100|100	0:9 543:1 0:33 543:4 0:18 543:1 |:| 543:7 0:29 543:2 0:2 543:1 0:4 543:11 0:10
C	DRR002014.19	91347	100|100	0:3 91347:3 0:33 2:1 0:6 1224:1 0:2 2:6 0:3 1236:1 0:7 |:| A:25 0:8 91347:5 0:18 A:10 
C	DRR002014.20	543	100|100	0:7 543:5 0:1 543:1 0:7 543:2 0:26 543:5 0:11 543:1 |:| A:25 0:2 543:2 0:5 543:2 0:14 543:2 0:4 A:10 
C	DRR002014.21	543	100|100	0:14 543:1 0:10 543:5 0:4 543:10 0:7 543:1 0:14 |:| A:25 0:17 543:1 0:13 A:10 
C	DRR002014.22	543	100|100	0:28 543:4 0:23 543:3 0:5 543:1 0:2 |:| 0:19 543:7 0:14 543:5 0:5 543:5 0:11
